Model,km,kcat,kd,e0,Si,Xopt,nlotes,V0,Mcat,e0_st0,e0_st1,e0_st2,e0_st3,e0_st4,e0_st5,e0_st6,t_reaccion0,t_reaccion1,t_reaccion2,t_reaccion3,t_reaccion4,t_reaccion5,t_reaccion6,producto0,producto1,producto2,producto3,producto4,producto5,producto6,productivity_specif0,productivity_specif1,productivity_specif2,productivity_specif3,productivity_specif4,productivity_specif5,productivity_specif6,Productividad_especifica_global
4012,104.78104555596492,1.0375015089188682,2.4812224579441926,58.32399810771663,173.63005903473092,0.9,6,1.0325270787008103,0.9634234954200679,58.32399810771663,1.1685987826434788e-16,0.0,0.0,0.0,0.0,0.0,0.0,16.423988743138935,0.0,0.0,0.0,0.0,0.0,0.0,167.47563728083134,167.47563728083134,167.47563728083134,167.47563728083134,167.47563728083134,167.47563728083134,0.0,10.197013642669093,0.0,0.0,0.0,0.0,0.0,61.182081856014555
4013,94.15703107120068,1.2785092616483298,0.21245866841793484,48.92736406503474,206.65821179437523,0.9,6,1.0565237001270655,1.0876856228836165,48.92736406503474,1.3248004816791315e-12,6.5374712832955515e-15,0.0,0.0,0.0,0.0,0.0,147.04081651561233,25.0,0.0,0.0,0.0,0.0,0.0,180.66375485133977,361.32750970267955,361.32750970267955,361.32750970267955,361.32750970267955,361.32750970267955,0.0,1.2286639800599684,2.1002429366515467,0.0,0.0,0.0,0.0,11.551336151583506
4014,95.31839029784648,1.0876827285747235,0.9879178113705324,59.12393228053124,185.41984333637137,0.9,6,1.0209402520627882,1.0656853340969654,59.12393228053124,8.915424651625907e-14,0.0,0.0,0.0,0.0,0.0,0.0,34.54542859084027,0.0,0.0,0.0,0.0,0.0,0.0,159.87113454866025,159.87113454866025,159.87113454866025,159.87113454866025,159.87113454866025,159.87113454866025,0.0,4.627852108659325,0.0,0.0,0.0,0.0,0.0,27.767112651955948
4015,94.05302311294311,0.719943415058264,2.4364727876834906,64.32567509948389,195.78519312101972,0.9,6,0.931464556774653,0.9990018295750637,64.32567509948389,1.2683999973780059e-14,0.0,0.0,0.0,0.0,0.0,0.0,14.84210867297648,0.0,0.0,0.0,0.0,0.0,0.0,164.29426499646556,164.29426499646556,164.29426499646556,164.29426499646556,164.29426499646556,164.29426499646556,0.0,11.069469211986137,0.0,0.0,0.0,0.0,0.0,66.41681527191682
4016,96.95778927520257,0.8219714967913735,0.8080737509225369,62.372624002831024,191.2870247700239,0.9,6,0.9712165428501021,1.0834530978461503,62.372624002831024,3.8460118801551444e-13,0.0,0.0,0.0,0.0,0.0,0.0,40.49097733548409,0.0,0.0,0.0,0.0,0.0,0.0,154.32417972932387,154.32417972932387,154.32417972932387,154.32417972932387,154.32417972932387,154.32417972932387,0.0,3.8113226670397644,0.0,0.0,0.0,0.0,0.0,22.867936002238586
4017,102.89768667135307,0.8179956451708625,1.2994246186022995,61.322116769972524,201.89777186968269,0.9,6,1.0512472271636273,1.0536317926854717,61.322116769972524,2.009831741502935e-15,0.0,0.0,0.0,0.0,0.0,0.0,29.210517806975457,0.0,0.0,0.0,0.0,0.0,0.0,181.2967555551825,181.2967555551825,181.2967555551825,181.2967555551825,181.2967555551825,181.2967555551825,0.0,6.206557403507888,0.0,0.0,0.0,0.0,0.0,37.23934442104733
4018,107.95037356344696,1.252217207369159,1.2338730437287273,34.68328312575167,174.86652260754596,0.9,6,0.9357499607619624,1.0007039514771017,34.68328312575167,7.72760547052152e-15,0.0,0.0,0.0,0.0,0.0,0.0,29.209030338253545,0.0,0.0,0.0,0.0,0.0,0.0,147.16461075661354,147.16461075661354,147.16461075661354,147.16461075661354,147.16461075661354,147.16461075661354,0.0,5.038325786661932,0.0,0.0,0.0,0.0,0.0,30.229954719971598
4019,114.00707590805774,0.8792337210042053,0.5823296719734724,50.93183962691249,161.68744184828068,0.9,6,1.0297915327692468,0.9097223038431239,50.93183962691249,2.863451348078419e-12,0.0,0.0,0.0,0.0,0.0,0.0,52.39211254877883,0.0,0.0,0.0,0.0,0.0,0.0,164.7249078981281,164.7249078981281,164.7249078981281,164.7249078981281,164.7249078981281,164.7249078981281,0.0,3.144078371429738,0.0,0.0,0.0,0.0,0.0,18.86447022857843
4020,90.31277916283662,1.2082474889312684,1.0046465289439723,64.37987466156088,188.1266495147935,0.9,6,0.9719606782227568,1.0550532243414392,64.37987466156088,4.3758488719812426e-11,0.0,0.0,0.0,0.0,0.0,0.0,27.887556235853026,0.0,0.0,0.0,0.0,0.0,0.0,155.97936812285286,155.97936812285286,155.97936812285286,155.97936812285286,155.97936812285286,155.97936812285286,0.0,5.593152974885673,0.0,0.0,0.0,0.0,0.0,33.55891784931404
4021,93.37577959006339,0.9405097952708004,2.245135463219649,64.79679722920005,157.60473241686424,0.9,6,0.9477105102839817,0.9487134437291654,64.79679722920005,6.671150404072452e-14,0.0,0.0,0.0,0.0,0.0,0.0,15.370856558321027,0.0,0.0,0.0,0.0,0.0,0.0,141.6943083628705,141.6943083628705,141.6943083628705,141.6943083628705,141.6943083628705,141.6943083628705,0.0,9.218374254241814,0.0,0.0,0.0,0.0,0.0,55.31024552545089
