Model,km,kcat,kd,e0,Si,Xopt,nlotes,V0,Mcat,e0_st0,e0_st1,e0_st2,e0_st3,e0_st4,e0_st5,t_reaccion0,t_reaccion1,t_reaccion2,t_reaccion3,t_reaccion4,t_reaccion5,producto0,producto1,producto2,producto3,producto4,producto5,productivity_specif0,productivity_specif1,productivity_specif2,productivity_specif3,productivity_specif4,productivity_specif5,Productividad_especifica_global
4851,99.028413020414,0.8195809806563417,0.3870069224913182,61.20652268340859,205.3270680940131,0.9,5,0.927954605188409,1.05084455672601,61.20652268340859,1.8353070354083827e-13,1.951664176422669e-14,0.0,0.0,0.0,0.0,86.40839798943865,5.790889825438342,0.0,0.0,0.0,0.0,163.1837720139772,326.3675440279544,326.3675440279544,326.3675440279544,326.3675440279544,0.0,1.8885175030547667,3.5398054774919068,0.0,0.0,0.0,15.92912464871358
4852,109.91137043341345,0.9223197356832986,0.13850978584936538,68.95363249205582,163.9628313988076,0.9,5,1.0030903048213848,0.9307272989163046,68.95363249205582,8.786312345645664,2.1399497361087176e-15,0.0,0.0,0.0,0.0,14.874322257477155,259.55703366947074,0.0,0.0,0.0,0.0,159.0396822429482,318.0793644858964,318.0793644858964,318.0793644858964,318.0793644858964,0.0,10.692230509057362,1.1590489119274234,0.0,0.0,0.0,5.215720103673405
4853,111.38833925912317,1.1846962206316183,0.09573529535356019,68.71619367932051,178.23800518883408,0.9,5,1.0412637464915513,0.9661344759321557,68.71619367932051,35.02688391846388,1.3375741576072409,2.524633573582014e-16,0.0,0.0,0.0,7.03887741945855,34.1071516346043,378.18991485386664,0.0,0.0,0.0,172.88845383965455,345.7769076793091,518.6653615189637,518.6653615189637,518.6653615189637,0.0,24.56193559525769,8.403651959341781,1.236873130133684,0.0,0.0,4.947492520534736
4854,104.65538160678013,0.8935841251126235,0.4171364360408262,54.36841261079186,174.2164718498219,0.9,5,1.048046015100501,0.9900074321201904,54.36841261079186,3.151419134617928e-11,0.0,0.0,0.0,0.0,0.0,67.54712380135572,0.0,0.0,0.0,0.0,0.0,165.98682580235118,165.98682580235118,165.98682580235118,165.98682580235118,165.98682580235118,0.0,2.457348536267649,0.0,0.0,0.0,0.0,12.286742681338247
4855,104.31285895660793,1.1910092529557161,0.4274439009234058,75.89708196506805,190.0743370292283,0.9,5,0.9106581973529767,1.0349725694266998,75.89708196506805,6.022664731792346e-11,0.0,0.0,0.0,0.0,0.0,65.18348815543835,0.0,0.0,0.0,0.0,0.0,150.51942670923356,150.51942670923356,150.51942670923356,150.51942670923356,150.51942670923356,0.0,2.3091649583143012,0.0,0.0,0.0,0.0,11.545824791571507
4856,84.23385600519022,0.8449471080232014,0.015040036217515537,66.21892512541646,192.88765514309716,0.9,5,1.0861601859326075,1.0415291542610912,66.21892512541646,59.676464536194274,53.1340039469721,46.59154335774994,40.049082768527754,33.50662217930557,0.0,6.9167776470150235,7.720766969705225,8.73655125493274,10.060699214573843,11.85919184127949,0.0,181.0378533001013,362.0757066002026,543.1135599003039,724.1514132004052,905.1892665005064,0.0,26.173727498415285,24.736095846745286,23.23570344207267,21.65861675936255,19.984755767896406,59.95426730368922
4857,94.00719138145055,1.2723397736637971,0.7323754279935926,76.0522784313429,141.22600760345878,0.9,5,0.9168929203026863,0.9318721731834216,76.0522784313429,1.7350573147384568e-10,0.0,0.0,0.0,0.0,0.0,36.601762478569114,0.0,0.0,0.0,0.0,0.0,125.06030036574928,125.06030036574928,125.06030036574928,125.06030036574928,125.06030036574928,0.0,3.4167835616925273,0.0,0.0,0.0,0.0,17.083917808462637
4858,107.04658826997186,0.791532641439763,2.2694302354548714,59.75482458376798,186.9478857598748,0.9,5,1.0461367734744267,1.0621591080815005,59.75482458376798,4.4900577155663644e-14,0.0,0.0,0.0,0.0,0.0,15.345074343183025,0.0,0.0,0.0,0.0,0.0,165.7150523643819,165.7150523643819,165.7150523643819,165.7150523643819,165.7150523643819,0.0,10.799234246655834,0.0,0.0,0.0,0.0,53.99617123327917
4859,93.72439879371464,0.7601213819002518,0.9882508714879131,58.54490417221929,188.58005303511104,0.9,5,1.065641021942205,1.0057212241486249,58.54490417221929,3.9054812842140957e-13,0.0,0.0,0.0,0.0,0.0,33.0290821685383,0.0,0.0,0.0,0.0,0.0,179.83390630334165,179.83390630334165,179.83390630334165,179.83390630334165,179.83390630334165,0.0,5.444714006453427,0.0,0.0,0.0,0.0,27.22357003226714
4860,107.23559912581258,0.7265964452076811,1.8012975821306898,51.93198425756975,161.58113868946458,0.9,5,0.9611088556116254,0.95316624682762,51.93198425756975,2.8012144433083497e-15,0.0,0.0,0.0,0.0,0.0,20.79537472373894,0.0,0.0,0.0,0.0,0.0,146.63481573126464,146.63481573126464,146.63481573126464,146.63481573126464,146.63481573126464,0.0,7.051318751369928,0.0,0.0,0.0,0.0,35.25659375684964
